category,theme,text,summary,sentiment,severity,churn_risk,root_cause,recommendation
Бонусная программа,Списание бонусов,Не получается использовать накопленные бонусы при оплате.,Проблема использования бонусов при оплате,negative,2,medium,,Проверить интеграцию бонусной системы с платежной системой
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Очень недоволен этой ситуацией.",Ошибка авторизации,negative,4,high,,Проверить работу аутентификации
Оплата,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Очень недоволен этой ситуацией.,Ожидание возврата после отмены заказа,negative,4,high,,Ускорить обработку возвратов после отмены заказа
Документы,Документы,В документах к заказу указаны неверные данные. Поддержка тоже не помогла.,Неверные данные в документах,negative,2,low,,Проверить данные в документах заказа
Личный кабинет,История заказов,В личном кабинете пропала история моих заказов. Очень недоволен этой ситуацией.,Проблема отсутствия истории заказов,negative,3,medium,,Проверить базу данных заказов
Бонусная программа,Не начислены бонусы,За покупку не начислили обещанные бонусы. Это уже не первый раз.,Не начислены бонусы,negative,3,medium,,Проверить систему начисления бонусов
Поддержка,Долгое ожидание,Очень долго ждал ответа оператора. Очень недоволен этой ситуацией.,Долгое ожидание ответа,negative,2,medium,недостаточное количество операторов,Увеличить количество операторов
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Поддержка тоже не помогла.",Задержка курьера,negative,2,medium,,Уточнить статус доставки у курьера
Личный кабинет,История заказов,"В личном кабинете пропала история моих заказов. Если вопрос не решится, больше у вас покупать не буду.",Пропажа истории заказов,negative,5,high,,Проверить базу заказов на сервере
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Поддержка тоже не помогла.",Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизированную проверку ответов
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Это уже не первый раз.",Товар исчезает из корзины,negative,3,medium,,Проверить логику добавления в корзину
Оплата,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Это уже не первый раз.,Отсутствие возврата после отмены заказа,negative,3,medium,,Ускорить обработку возвратов после отмены заказа
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Если вопрос не решится, больше у вас покупать не буду.",Соотношение цен в корзине и товара,negative,5,high,,Проверить синхронизацию цен в корзине
Личный кабинет,История заказов,В личном кабинете пропала история моих заказов. Это уже не первый раз.,Пропажа истории заказов,negative,3,medium,,Проверить базу данных заказов
Цена,Скидка,Обещанная скидка не применилась при оформлении заказа. Это уже не первый раз.,Не применена скидка при оформлении,negative,3,medium,Не применена скидка при оформлении,Проверить условия применения скидки
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Если вопрос не решится, больше у вас покупать не буду.",Проблема поиска адреса доставки,negative,5,high,,Улучшить алгоритм поиска адресов
Личный кабинет,История заказов,В личном кабинете пропала история моих заказов. Прошу срочно решить проблему.,Проблема отсутствия истории заказов,negative,4,high,,Проверить базу данных заказов
Цена,Скидка,Обещанная скидка не применилась при оформлении заказа. Поддержка тоже не помогла.,Не применена обещанная скидка,negative,2,medium,,Проверить условия применения скидки
Бонусная программа,Не начислены бонусы,За покупку не начислили обещанные бонусы. Прошу срочно решить проблему.,Не начислены бонусы,negative,4,high,,Проверить систему начисления бонусов
Документы,Счет,Не могу получить счет на заказ. Поддержка тоже не помогла.,Отсутствие счета на заказ,negative,2,low,,Проверить автоматическую генерацию счетов
Личный кабинет,Профиль,Не получается изменить номер телефона в профиле. Очень недоволен этой ситуацией.,Невозможность изменения номера телефона,negative,2,medium,,Проверить доступ к профилю
Мобильное приложение,Ошибка приложения,После обновления приложение перестало запускаться. Очень недоволен этой ситуацией.,Приложение не запускается после обновления,negative,3,medium,,Проверить стабильность обновления приложения
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Очень недоволен этой ситуацией.",Отсутствие ответа в поддержке,negative,3,high,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Поддержка тоже не помогла.",Проблема поиска адреса доставки,negative,2,low,,Проверить точность данных в системе доставки
Документы,Счет,"Не могу получить счет на заказ. Если вопрос не решится, больше у вас покупать не буду.",Ошибка получения счета,negative,5,high,,Ускорить обработку счетов
Цена,Промокод,"Промокод указан как действующий, но система его не принимает. Это уже не первый раз.",Проблема с действующим промокодом,negative,2,medium,,Проверить валидность промокода в системе
Качество товара,Несоответствие,Товар совсем не соответствует описанию на сайте. Поддержка тоже не помогла.,Несоответствие товара описанию,negative,3,medium,Несоответствие товара описанию,Проверить описания товаров на соответствие реальному товару
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Это уже не первый раз.",Проблема входа в приложение,negative,2,medium,,Проверить статус сессии при входе
Бонусная программа,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Если вопрос не решится, больше у вас покупать не буду.",Бонусные баллы исчезли,negative,5,high,,Проверить систему учета бонусных баллов
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Очень недоволен этой ситуацией.",Товар исчезает из корзины,negative,3,medium,,Проверить логику добавления в корзину
Мобильное приложение,Ошибка приложения,"После обновления приложение перестало запускаться. Если вопрос не решится, больше у вас покупать не буду.",Приложение не запускается после обновления,negative,5,high,,Вернуть приложение в исходную версию
Качество товара,Несоответствие,Товар совсем не соответствует описанию на сайте. Это уже не первый раз.,Несоответствие товара описанию,negative,3,medium,Несоответствие товара описанию,Улучшить проверку товаров перед отправкой
Мобильное приложение,Ошибка приложения,После обновления приложение перестало запускаться. Прошу срочно решить проблему.,Приложение не запускается после обновления,negative,4,high,,Вернуть приложение к работе после обновления
Качество товара,Брак,Получил товар с явным браком. Поддержка тоже не помогла.,Брак товара,negative,4,high,,Проверить качество поставок
Бонусная программа,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Очень недоволен этой ситуацией.,Бонусные баллы исчезли,negative,3,medium,,Проверить систему учета баллов
Доставка,Повреждение,Заказ приехал с поврежденной упаковкой. Очень недоволен этой ситуацией.,Поврежденная упаковка при доставке,negative,3,medium,Поврежденная упатовка при доставке,Проверить качество упаковки перед отправкой
Документы,Документы,В документах к заказу указаны неверные данные. Прошу срочно решить проблему.,Неверные данные в документах заказа,negative,3,medium,,Проверить данные заказа и исправить ошибки
Документы,Чек,Не получил электронный чек после покупки. Поддержка тоже не помогла.,Отсутствие электронного чека после покупки,negative,2,low,,Проверить автоматическую отправку чеков
Документы,Документы,В документах к заказу указаны неверные данные. Очень недоволен этой ситуацией.,Неверные данные в документах,negative,3,medium,,Проверить данные в документах перед отправкой
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Это уже не первый раз.",Сложность оформления возврата,negative,2,medium,неизвестно,Упростить процесс оформления возврата
Возвраты,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Это уже не первый раз.,Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Надеюсь, вопрос получится быстро решить.",Отсутствие ответа в поддержке,negative,2,medium,Отсутствие ответа в поддержке,Увеличить частоту ответов в поддержке
Личный кабинет,История заказов,"В личном кабинете пропала история моих заказов. Хотелось бы понять, что делать дальше.",Проблема отсутствия истории заказов,negative,2,low,,Проверить базу данных заказов
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Хотелось бы понять, что делать дальше.",Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизацию ответов в поддержке
Доставка,Курьер,Курьер не приехал в назначенное время и не позвонил. Прошу помочь разобраться.,Отсутствие уведомления о доставке,negative,2,low,Отсутствие уведомления курьера,Установить автоматизированное уведомление о доставке
Поддержка,Долгое ожидание,"Очень долго ждал ответа оператора. Хотелось бы понять, что делать дальше.",Долгое ожидание ответа,negative,2,low,,Увеличить лимит одновременных консультаций
Доставка,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Подскажите, пожалуйста, как решить эту проблему.",Задержка доставки,negative,3,medium,,Уточнить причины задержки и уведомить клиента о планах по исправлению
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Прошу помочь разобраться.",Проблема поиска адреса доставки,negative,2,low,,Проверить корректность адреса в системе
Документы,Документы,"В документах к заказу указаны неверные данные. Подскажите, пожалуйста, как решить эту проблему.",Неверные данные в документах заказа,neutral,2,low,,Проверить данные заказа
Качество товара,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Подскажите, пожалуйста, как решить эту проблему.",Поврежденный товар,negative,4,medium,Поврежденный товар при получении,Организовать замену поврежденного товара
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу помочь разобраться.",Задержка возврата средств,negative,2,medium,,Проверить статус возврата в системе
Доставка,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу помочь разобраться.,Задержка доставки,negative,3,medium,,Проверить логистику и уточнить сроки доставки
Бонусная программа,Не начислены бонусы,За покупку не начислили обещанные бонусы. Прошу помочь разобраться.,Не начислены бонусы,negative,2,medium,,Проверить систему начисления бонусов
Доставка,Повреждение,"Заказ приехал с поврежденной упаковкой. Надеюсь, вопрос получится быстро решить.",Поврежденная упаковка при доставке,neutral,2,low,Поврежденная упusing,Проверить качество упаковки перед доставкой
Цена,Скидка,Обещанная скидка не применилась при оформлении заказа. Прошу помочь разобраться.,Не применена обещанная скидка,negative,2,medium,,Проверить условия применения скидки
Личный кабинет,История заказов,В личном кабинете пропала история моих заказов. Прошу помочь разобраться.,Проблема отсутствия истории заказов,negative,2,low,,Проверить базу данных заказов
Мобильное приложение,Ошибка приложения,После обновления приложение перестало запускаться. Прошу помочь разобраться.,Приложение не запускается после обновления,negative,2,low,,Проверить стабильность обновления
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Прошу помочь разобраться.",Сложность оформления возврата,negative,2,low,неизвестно,Упростить процесс оформления возврата
Качество товара,Несоответствие,"Товар совсем не соответствует описанию на сайте. Подскажите, пожалуйста, как решить эту проблему.",Несоответствие товара описанию,negative,3,medium,,Проверить соответствие товара описанию
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Подскажите, пожалуйста, как решить эту проблему.",Ошибка оплаты банковской картой,neutral,2,low,,Проверить данные карты на сервере
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Прошу помочь разобраться.",Ошибка входа в приложение,negative,2,low,,Проверить аутентификацию на сервере
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Надеюсь, вопрос получится быстро решить.",Проблема поиска адреса доставки,neutral,2,low,,Проверить актуальность адреса в системе доставки
Возвраты,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения. Прошу помочь разобраться.,Отказ в возврате без объяснения,negative,2,medium,,Уточнить причины отказа в возврате
Качество товара,Поврежденный товар,Товар приехал поврежденным и пользоваться им невозможно. Прошу помочь разобраться.,Поврежденный товар,negative,4,medium,,Проверить логистику и упаковку
Качество товара,Несоответствие,"Товар совсем не соответствует описанию на сайте. Хотелось бы понять, что делать дальше.",Несоответствие товара описанию,negative,2,medium,,Проверить соответствие товара описанию на сайте
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Хотелось бы понять, что делать дальше.",Проблема поиска адреса доставки,neutral,2,low,,Проверить точность адреса в системе
Возвраты,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Надеюсь, вопрос получится быстро решить.",Отказ в возврате без объяснения,neutral,2,low,,Уточнить причины отказа возврата
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Прошу помочь разобраться.",Ошибка оплаты банковской картой,negative,2,low,,Проверить подключение карты в системе оплаты
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Прошу помочь разобраться.",Отсутствие ответа в поддержке,negative,3,medium,Отсутствие ответа в поддержке,Увеличить автоматизированную проверку ответов
Бонусная программа,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Подскажите, пожалуйста, как решить эту проблему.",Бонусные баллы исчезли,negative,3,medium,,Проверить личный кабинет на наличие баллов
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Хотелось бы понять, что делать дальше.",Ошибка оплаты банковской картой,negative,2,low,,Проверить данные карты и транзакцию
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Хотелось бы понять, что делать дальше.",Ошибка оплаты банковской картой,negative,2,low,,Проверить подключение карты в системе
Качество товара,Брак,"Получил товар с явным браком. Надеюсь, вопрос получится быстро решить.",Брак товара,neutral,2,low,,Проверить качество поставок
Бонусная программа,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Хотелось бы понять, что делать дальше.",Бонусные баллы исчезли,negative,3,medium,,Проверить личный кабинет на наличие баллов
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Прошу помочь разобраться.",Ошибка оплаты банковской картой,negative,2,low,,Проверить данные карты и транзакцию
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Подскажите, пожалуйста, как решить эту проблему.",Задержка курьера,negative,2,low,,Уточнить статус доставки
Поддержка,Долгое ожидание,"Очень долго ждал ответа оператора. Надеюсь, вопрос получится быстро решить.",Долгое ожидание ответа,neutral,2,low,,Оптимизировать время ответа операторов
Мобильное приложение,Ошибка приложения,"После обновления приложение перестало запускаться. Подскажите, пожалуйста, как решить эту проблему.",Приложение не запускается после обновления,negative,2,low,,Проверить совместимость версии приложения с операционной системой
Возвраты,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Хотелось бы понять, что делать дальше.",Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
Доставка,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Хотелось бы понять, что делать дальше.",Задержка доставки,negative,3,medium,,Уточнить причины задержки и уведомить клиента
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Надеюсь, вопрос получится быстро решить.",Соотношение цен в корзине и товара,neutral,2,low,,Проверить синхронизацию цен в корзине
Оплата,Возврат денег,Деньги после отмены заказа до сих пор не вернулись. Прошу помочь разобраться.,Отсутствие возврата после отмены заказа,negative,3,medium,,Проверить статус отмены заказа
Цена,Промокод,"Промокод указан как действующий, но система его не принимает. Прошу помочь разобраться.",Проблема активации промокода,negative,2,low,,Проверить валидность промокода в системе
Документы,Счет,Не могу получить счет на заказ. Это уже не первый раз.,Ошибка получения счета,negative,2,medium,,Проверить систему генерации счетов
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Хотелось бы понять, что делать дальше.",Неправильная цена в корзине,neutral,2,low,,Проверить синхронизацию цен в корзине
Оплата,Возврат денег,"Деньги после отмены заказа до сих пор не вернулись. Подскажите, пожалуйста, как решить эту проблему.",Отсутствие возврата после отмены заказа,negative,2,medium,,Проверить статус отмены заказа и активировать возврат
Поддержка,Качество поддержки,Оператор не смог решить мой вопрос и просто переключал меня между отделами. Прошу помочь разобраться.,Проблема с переключением между отделами,negative,2,medium,непонимание оператора,Улучшить процесс переключения между отделами
Качество товара,Брак,"Получил товар с явным браком. Подскажите, пожалуйста, как решить эту проблему.",Брак товара,negative,3,medium,,Проверить качество поставок
Бонусная программа,Пропали бонусы,Из личного кабинета исчезли мои бонусные баллы. Прошу помочь разобраться.,Бонусные баллы исчезли,negative,3,medium,,Проверить логи баллов
Оплата,Возврат денег,"Деньги после отмены заказа до сих пор не вернулись. Хотелось бы понять, что делать дальше.",Отсутствие возврата после отмены заказа,negative,3,medium,,Ускорить обработку возвратов после отмены заказа
Качество товара,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Надеюсь, вопрос получится быстро решить.",Поврежденный товар,neutral,3,low,,Проверить качество поставки
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Прошу помочь разобраться.",Задержка курьера,negative,2,low,,Проверить статус доставки
Бонусная программа,Не начислены бонусы,"За покупку не начислили обещанные бонусы. Надеюсь, вопрос получится быстро решить.",Не начислены бонусы,neutral,2,low,,Проверить систему начисления бонусов
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Прошу помочь разобраться.",Товар исчезает из корзины,negative,3,medium,,Проверить логику добавления в корзину
Поддержка,Долгое ожидание,"Очень долго ждал ответа оператора. Подскажите, пожалуйста, как решить эту проблему.",Долгое ожидание ответа,negative,2,low,,Увеличить количество операторов
Поддержка,Долгое ожидание,Очень долго ждал ответа оператора. Прошу помочь разобраться.,Долгое ожидание ответа,negative,2,low,,Увеличить количество операторов
Документы,Чек,"Не получил электронный чек после покупки. Надеюсь, вопрос получится быстро решить.",Отсутствие электронного чека,neutral,2,low,,Проверить систему электронных чеков
Бонусная программа,Списание бонусов,Не получается использовать накопленные бонусы при оплате. Прошу помочь разобраться.,Проблема использования бонусов при оплате,negative,2,low,,Проверить настройки бонусной программы
Документы,Чек,Не получил электронный чек после покупки. Прошу помочь разобраться.,Отсутствие электронного чека после покупки,negative,2,low,,Проверить систему электронных чеков
Качество товара,Несоответствие,Товар совсем не соответствует описанию на сайте. Прошу помочь разобраться.,Несоответствие товара описанию,negative,3,medium,,Проверить описания товаров на соответствие реальному товару
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Подскажите, пожалуйста, как решить эту проблему.",Задержка возврата средств,negative,2,medium,,Проверить статус возврата в системе
Документы,Документы,"В документах к заказу указаны неверные данные. Надеюсь, вопрос получится быстро решить.",Неверные данные в документах,neutral,2,low,,Проверить данные в документах
Качество товара,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Хотелось бы понять, что делать дальше.",Поврежденный товар неиспользуемый,negative,3,medium,,Проверить качество поставки
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Подскажите, пожалуйста, как решить эту проблему.",Товар исчезает из корзины,negative,2,low,,Проверить логику добавления в корзину
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Подскажите, пожалуйста, как решить эту проблему.",Ошибка входа в приложение,negative,3,medium,,Проверить статус сессии и аутентификацию
Оплата,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка. Подскажите, пожалуйста, как решить эту проблему.",Ошибка оплаты банковской картой,negative,2,low,,Проверить подключение карты в системе оплаты
Оплата,Двойное списание,С карты дважды списали деньги за один заказ. Прошу помочь разобраться.,Двойное списание заказа,negative,4,medium,,Проверить систему списаний
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Хотелось бы понять, что делать дальше.",Задержка возврата средств,negative,2,medium,,Проверить статус возврата в системе
Личный кабинет,Профиль,"Не получается изменить номер телефона в профиле. Хотелось бы понять, что делать дальше.",Не могу изменить номер телефона,negative,2,low,,Проверить доступ к профилю
Мобильное приложение,Ошибка приложения,Приложение зависает при оформлении заказа. Прошу помочь разобраться.,Зависание при оформлении заказа,negative,2,low,,Проверить стабильность приложения при оформлении заказа
Личный кабинет,Профиль,"Не получается изменить номер телефона в профиле. Надеюсь, вопрос получится быстро решить.",Ошибка изменения номера телефона,neutral,2,low,,Проверить доступ к профилю
Личный кабинет,Авторизация,"Не могу войти в личный кабинет. Надеюсь, вопрос получится быстро решить.",Проблема входа в личный кабинет,neutral,2,low,,Проверить доступ к личному кабинету
Личный кабинет,Профиль,Не получается изменить номер телефона в профиле. Прошу помочь разобраться.,Ошибка изменения номера телефона,negative,2,low,,Проверить доступ к профилю
Доставка,Повреждение,"Заказ приехал с поврежденной упаковкой. Подскажите, пожалуйста, как решить эту проблему.",Поврежденная упаковка при доставке,negative,3,medium,Поврежденная уп:паковка при доставке,Проверить качество упаковки перед доставкой
Возвраты,Отказ в возврате,"Мне отказали в возврате товара без понятного объяснения. Подскажите, пожалуйста, как решить эту проблему.",Отказ в возврате без объяснения,negative,3,medium,,Уточнить причины отказа возврата
Доставка,Повреждение,"Заказ приехал с поврежденной упаковкой. Хотелось бы понять, что делать дальше.",Поврежденная упаковка при доставке,negative,2,low,,Проверить качество упаковки перед доставкой
Мобильное приложение,Ошибка приложения,"Приложение зависает при оформлении заказа. Подскажите, пожалуйста, как решить эту проблему.",Ошибка при оформлении заказа,neutral,2,low,,Проверить стабильность приложения при оформлении заказа
Документы,Счет,Не могу получить счет на заказ. Прошу помочь разобраться.,Отсутствие счета на заказ,negative,2,low,,Проверить систему генерации счетов
Личный кабинет,История заказов,"В личном кабинете пропала история моих заказов. Подскажите, пожалуйста, как решить эту проблему.",Проблема отсутствия истории заказов,negative,2,medium,,Проверить базу данных заказов
Доставка,Курьер,"Курьер не приехал в назначенное время и не позвонил. Хотелось бы понять, что делать дальше.",Отсутствие уведомления о доставке,negative,2,low,Отсутствие уведомления курьера,Установить автоматическое уведомление курьера
Доставка,Повреждение,Заказ приехал с поврежденной упаковкой. Прошу помочь разобраться.,Поврежденная упаковка при доставке,negative,2,low,,Проверить качество упаковки перед доставкой
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Надеюсь, вопрос получится быстро решить.",Ошибка входа в приложение,neutral,2,low,,Проверить аутентификацию на сервере
Документы,Счет,"Не могу получить счет на заказ. Надеюсь, вопрос получится быстро решить.",Отсутствие счета на заказ,neutral,2,low,,Проверить систему генерации счетов
Документы,Счет,"Не могу получить счет на заказ. Хотелось бы понять, что делать дальше.",Отсутствие счета на заказ,negative,2,low,,Проверить автоматическую генерацию счетов
Мобильное приложение,Ошибка приложения,"После обновления приложение перестало запускаться. Надеюсь, вопрос получится быстро решить.",Приложение не запускается после обновления,neutral,2,low,,Проверить стабильность обновления приложения
Мобильное приложение,Ошибка приложения,"Приложение зависает при оформлении заказа. Надеюсь, вопрос получится быстро решить.",Зависание при оформлении заказа,neutral,2,low,,Оптимизировать процесс оформления заказа
Личный кабинет,Авторизация,"Не могу войти в личный кабинет. Хотелось бы понять, что делать дальше.",Проблема входа в личный кабинет,negative,2,low,,Проверить доступ к личному кабинету
Мобильное приложение,Ошибка приложения,"Приложение зависает при оформлении заказа. Хотелось бы понять, что делать дальше.",Зависание при оформлении заказа,neutral,2,low,,Оптимизировать процесс оформления заказа
Доставка,Задержка доставки,"Заказ должен был приехать вчера, но курьер так и не приехал. Хотелось бы понять, что делать дальше.",Задержка курьера,negative,2,low,,Уточнить статус доставки у курьера
Возвраты,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Подскажите, пожалуйста, как решить эту проблему.",Сложность оформления возврата,neutral,2,low,неизвестно,Упростить процесс оформления возврата
Бонусная программа,Пропали бонусы,"Из личного кабинета исчезли мои бонусные баллы. Надеюсь, вопрос получится быстро решить.",Бонусные баллы исчезли,neutral,2,low,,Проверить систему учета баллов
Доставка,Курьер,"Курьер не приехал в назначенное время и не позвонил. Надеюсь, вопрос получится быстро решить.",Отсутствие уведомления о доставке,neutral,2,low,Отсутствие уведомления курьера,Установить автоматическое уведомление курьера
Документы,Документы,В документах к заказу указаны неверные данные. Прошу помочь разобраться.,Неверные данные в документах заказа,negative,2,low,,Проверить данные заказа
Поддержка,Качество поддержки,"Оператор не смог решить мой вопрос и просто переключал меня между отделами. Хотелось бы понять, что делать дальше.",Проблема переключения между отделами,negative,3,medium,непонимание оператора,Улучшить процесс переключения между отделами
Бонусная программа,Не начислены бонусы,"За покупку не начислили обещанные бонусы. Подскажите, пожалуйста, как решить эту проблему.",Не начислены бонусы,negative,2,medium,,Проверить систему начисления бонусов
Цена,Промокод,"Промокод указан как действующий, но система его не принимает. Подскажите, пожалуйста, как решить эту проблему.",Проблема с действующим промокодом,neutral,2,low,,Проверить валидность промокода в системе
Поддержка,Качество поддержки,"Оператор не смог решить мой вопрос и просто переключал меня между отделами. Подскажите, пожалуйста, как решить эту проблему.",Проблема переключения между отделами,negative,3,medium,Оператор не смог решить вопрос,Улучшить процесс переключения между отделами
Мобильное приложение,Ошибка приложения,"После обновления приложение перестало запускаться. Хотелось бы понять, что делать дальше.",Приложение не запускается после обновления,negative,2,low,,Проверить стабильность обновления
Качество товара,Брак,"Получил товар с явным браком. Хотелось бы понять, что делать дальше.",Брак товара,negative,3,medium,,Проверить качество поставок
Документы,Чек,"Не получил электронный чек после покупки. Хотелось бы понять, что делать дальше.",Отсутствие электронного чека после покупки,negative,2,low,,Проверить систему электронных чеков
Документы,Документы,В документах к заказу указаны неверные данные. Это уже не первый раз.,Неверные данные в документах,negative,3,medium,неверные данные в документах,Проверить данные в документах перед отправкой
Мобильное приложение,Авторизация,"Не могу войти в приложение, постоянно выбрасывает на экран входа. Хотелось бы понять, что делать дальше.",Проблема входа в приложение,negative,2,medium,,Проверить статус сессии и аутентификацию
Личный кабинет,Профиль,"Не получается изменить номер телефона в профиле. Подскажите, пожалуйста, как решить эту проблему.",Ошибка изменения номера телефона,neutral,2,low,,Проверить доступ к профилю
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Хотелось бы понять, что делать дальше.",Товар исчезает из корзины,negative,2,low,,Проверить локальные настройки корзины
Оплата,Ошибка оплаты,"Платеж отклоняется, хотя с картой все в порядке. Надеюсь, вопрос получится быстро решить.",Ошибка оплаты банковской картой,neutral,2,low,,Проверить данные карты и транзакцию
Документы,Чек,"Не получил электронный чек после покупки. Подскажите, пожалуйста, как решить эту проблему.",Отсутствие электронного чека после покупки,neutral,2,low,,Проверить систему отправки электронных чеков
Оплата,Возврат денег,"Деньги после отмены заказа до сих пор не вернулись. Надеюсь, вопрос получится быстро решить.",Отсутствие возврата после отмены заказа,neutral,2,low,,Ускорить обработку возвратов после отмены заказа
Поддержка,Качество поддержки,"Оператор не смог решить мой вопрос и просто переключал меня между отделами. Надеюсь, вопрос получится быстро решить.",Переключения между отделами,neutral,2,low,,Улучшить координацию между отделами
Оплата,Двойное списание,"С карты дважды списали деньги за один заказ. Надеюсь, вопрос получится быстро решить.",Двойное списание заказа,neutral,3,low,,Проверить систему списаний
Возвраты,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Надеюсь, вопрос получится быстро решить.",Задержка возврата средств,neutral,2,low,,Ускорить обработку возвратов
Бонусная программа,Списание бонусов,"Не получается использовать накопленные бонусы при оплате. Надеюсь, вопрос получится быстро решить.",Ошибка использования бонусов при оплате,neutral,2,low,,Проверить интеграцию бонусной системы с платежной системой
Мобильное приложение,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Прошу срочно решить проблему.",Товар исчезает из корзины,negative,4,high,null,Проверить логику добавления в корзину
Цена,Скидка,"Обещанная скидка не применилась при оформлении заказа. Хотелось бы понять, что делать дальше.",Не применена обещанная скидка,negative,2,medium,null,Проверить условия применения скидки
Поддержка,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Подскажите, пожалуйста, как решить эту проблему.",Отсутствие ответа в поддержке,negative,2,medium,Отсутствие ответа в поддержке,Увеличить частоту ответов в поддержке
Цена,Скидка,"Обещанная скидка не применилась при оформлении заказа. Подскажите, пожалуйста, как решить эту проблему.",Не применена обещанная скидка,negative,2,medium,null,Проверить условия применения скидки
Доставка,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Подскажите, пожалуйста, как решить эту проблему.",Проблема поиска адреса доставки,neutral,2,low,null,Проверить корректность адреса в системе
Цена,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Подскажите, пожалуйста, как решить эту проблему.",Неправильная цена в корзине,neutral,2,low,null,Проверить синхронизацию цен в корзине
